+AF8-id,stop+AF8-name,stop+AF8-lat,stop+AF8-lon,location+AF8-type,parent+AF8-station,zone+AF8-id,wheelchair+AF8-boarding,MFL,BSS,NHSL
3049,16th St +ACY- Morris St ,39.929614,+AC0-75.171781,,,1,,,,
10848,16th St +ACY- Moyamensing Av +AC0- FS,39.916251,+AC0-75.174768,,,1,,,,
3035,16th St +ACY- Mt Vernon St ,39.964762,+AC0-75.164178,,,1,,,,
3051,16th St +ACY- Norris St ,39.983528,+AC0-75.160092,,,1,,,,
26149,16th St +ACY- North St ,39.966029,+AC0-75.163902,,,1,,,,
3052,16th St +ACY- Oregon Av ,39.917125,+AC0-75.174553,,,1,,,,
3053,16th St +ACY- Oxford St ,39.977564,+AC0-75.161402,,,1,,,,
43,16th St +ACY- Pine St ,39.945895,+AC0-75.168275,,,1,,,,
3055,16th St +ACY- Poplar St ,39.970402,+AC0-75.162909,,,1,,,,
3056,16th St +ACY- Porter S,39.919739,+AC0-75.173977,,,1,,,,
3057,16th St +ACY- Race St,39.956528,+AC0-75.165945,,,1,,,,
3058,16th St +ACY- Reed St ,39.933208,+AC0-75.171059,,,1,,,,
3059,16th St +ACY- Ridge Av ,39.968971,+AC0-75.16324,,,1,,,,
3060,16th St +ACY- Ritner St ,39.921024,+AC0-75.173713,,,1,,,,
3061,16th St +ACY- Shunk St ,39.918472,+AC0-75.174253,,,1,,,,
41,16th St +ACY- Snyder Av ,39.924771,+AC0-75.17292,,,1,,,,
3063,16th St +ACY- South St ,39.943986,+AC0-75.168695,,,1,,,,
13188,16th St +ACY- Spring Garden St ,39.962664,+AC0-75.164599,,,1,,,,
3064,16th St +ACY- Spruce St ,39.947322,+AC0-75.167951,,,1,,,,
3066,16th St +ACY- Susquehanna Av ,39.986653,+AC0-75.159442,,,1,,,,
3067,16th St +ACY- Tasker St ,39.930774,+AC0-75.171576,,,1,,,,
3068,16th St +ACY- Thompson St ,39.973505,+AC0-75.16228,,,1,,,,
26148,16th St +ACY- Wallace St ,39.96544,+AC0-75.164034,,,1,,,,
3069,16th St +ACY- Walnut St ,39.949642,+AC0-75.167482,,,1,,,,
42,16th St +ACY- Washington Av ,39.938098,+AC0-75.169968,,,1,,,,
3072,16th St +ACY- Wharton St ,39.934494,+AC0-75.170748,,,1,,,,
3073,16th St +ACY- Wolf St ,39.922255,+AC0-75.173437,,,1,,,,
3074,16th St +ACY- York St ,39.989669,+AC0-75.158746,,,1,,,,
2699,17th St +ACY-  Morris St ,39.930011,+AC0-75.173527,,,1,,,,
3075,17th St +ACY- Allegheny Av ,40.002099,+AC0-75.157647,,,1,,,,
15397,17th St +ACY- Allegheny Av ,40.002269,+AC0-75.157765,,,1,,,,
3076,17th St +ACY- Arch St ,39.955096,+AC0-75.168076,,,1,,,,
3077,17th St +ACY- Bainbridge St ,39.943499,+AC0-75.170574,,,1,,,,
3078,17th St +ACY- Ben Franklin Pkwy ,39.956077,+AC0-75.167872,,,1,,,,
3079,17th St +ACY- Berks St ,39.98242,+AC0-75.162116,,,1,,,,
3080,17th St +ACY- Brown St ,39.968566,+AC0-75.165133,,,1,,,,
3081,17th St +ACY- Callowhill St ,39.960279,+AC0-75.166935,,,1,,,,
2661,17th St +ACY- Cambria St ,39.997613,+AC0-75.158787,,,1,,,,
2662,17th St +ACY- Cambria St +AC0- FS,39.997523,+AC0-75.158645,,,1,,,,
2663,17th St +ACY- Carpenter St ,39.939764,+AC0-75.171412,,,1,,,,
2664,17th St +ACY- Catherine St ,39.941527,+AC0-75.171018,,,1,,,,
2665,17th St +ACY- Cecil B Moore Av ,39.979379,+AC0-75.162789,,,1,,,,
2666,17th St +ACY- Chestnut St ,39.951519,+AC0-75.168845,,,1,,,,
2667,17th St +ACY- Christian St ,39.94076,+AC0-75.171186,,,1,,,,
2668,17th St +ACY- Clearfield Rd +AC0- FS,40.000482,+AC0-75.158159,,,1,,,,
2669,17Th St +ACY- Clearfield St,40.000501,+AC0-75.158019,,,1,,,,
2670,17th St +ACY- Cumberland St ,39.991618,+AC0-75.160132,,,1,,,,
2671,17th St +ACY- Dauphin St ,39.988594,+AC0-75.160794,,,1,,,,
2672,17th St +ACY- Diamond St ,39.985462,+AC0-75.161479,,,1,,,,
2673,17th St +ACY- Dickinson St ,39.932455,+AC0-75.172999,,,1,,,,
2674,17th St +ACY- Ellsworth St ,39.937575,+AC0-75.171859,,,1,,,,
2675,17th St +ACY- Erie Av ,40.009959,+AC0-75.156104,,,1,,,,
2676,17th St +ACY- Erie Av ,40.009745,+AC0-75.155987,,,1,,,,
2677,17th St +ACY- Fairmount Av,39.967237,+AC0-75.165421,,,1,,,,
2678,17th St +ACY- Federal St ,39.936621,+AC0-75.172063,,,1,,,,
2679,17th St +ACY- Fitzwater St ,39.942535,+AC0-75.170802,,,1,,,,
24172,17th St +ACY- Franklintown Blvd ,39.959414,+AC0-75.167352,,,1,,,,
32,17th St +ACY- Girard Av ,39.972153,+AC0-75.164352,,,1,,,,
2681,17th St +ACY- Green St ,39.964463,+AC0-75.166034,,,1,,,,
2682,17th St +ACY- Hamilton St +AC0- MBNS,39.961671,+AC0-75.166647,,,1,,,,
31,17th St +ACY- Huntingdon St,39.992983,+AC0-75.159761,,,1,,,,
2684,17th St +ACY- Indiana Av,39.998755,+AC0-75.158841,,,1,,,,
2685,17th St +ACY- Jackson St ,39.923891,+AC0-75.174824,,,1,,,,
2686,17th St +ACY- Jefferson St ,39.976551,+AC0-75.163391,,,1,,,,
2687,17th St +ACY- JFK Blvd ,39.954061,+AC0-75.168304,,,1,,,,
2688,17th St +ACY- Johnston St ,39.916219,+AC0-75.176503,,,1,,,,
47,17th St +ACY- Lehigh Av ,39.994391,+AC0-75.159341,,,1,,,,
2689,17th St +ACY- Lehigh Av ,39.994562,+AC0-75.159436,,,1,,,,
15400,17th St +ACY- Locust St +AC0- FS,39.948637,+AC0-75.169481,,,1,,,,
2692,17th St +ACY- Lombard St ,39.945372,+AC0-75.17019,,,1,,,,
34,17th St +ACY- Market St ,39.953071,+AC0-75.168497,,,1,,,,
2694,17th St +ACY- Master St ,39.975177,+AC0-75.163703,,,1,,,,
2695,17th St +ACY- McKean St ,39.926344,+AC0-75.174284,,,1,,,,
2696,17th St +ACY- Mifflin St ,39.927566,+AC0-75.17402,,,1,,,,
2697,17th St +ACY- Montgomery Av ,39.98093,+AC0-75.162428,,,1,,,,
2698,17th St +ACY- Moore St ,39.928788,+AC0-75.173744,,,1,,,,
