_id.stationId,_id.outageYear,_id.outageMonth,_id.outageDay,stop_name,line_code
"2461","2014","05","19","York Dauphin Station","MFL"
"2461","2014","05","20","York Dauphin Station","MFL"
"2461","2014","06","18","York Dauphin Station","MFL"
"2461","2014","06","19","York Dauphin Station","MFL"
"2461","2014","09","06","York Dauphin Station","MFL"
"2461","2014","09","07","York Dauphin Station","MFL"
"2461","2014","09","08","York Dauphin Station","MFL"
"2461","2014","09","11","York Dauphin Station","MFL"
"2461","2014","10","19","York Dauphin Station","MFL"
"2461","2014","10","20","York Dauphin Station","MFL"
"2462","2014","06","05","Huntingdon Station","MFL"
"2462","2014","06","10","Huntingdon Station","MFL"
"2462","2014","06","11","Huntingdon Station","MFL"
"2462","2014","07","22","Huntingdon Station","MFL"
"2462","2014","08","08","Huntingdon Station","MFL"
"2462","2014","08","09","Huntingdon Station","MFL"
"2462","2014","09","27","Huntingdon Station","MFL"
"2462","2014","09","28","Huntingdon Station","MFL"
"2463","2014","08","06","Tioga Station","MFL"
"2463","2014","08","07","Tioga Station","MFL"
"2463","2014","11","02","Tioga Station","MFL"
"2463","2014","11","03","Tioga Station","MFL"
"2463","2014","11","04","Tioga Station","MFL"
"2463","2014","11","05","Tioga Station","MFL"
"2463","2014","11","06","Tioga Station","MFL"
"2463","2014","11","07","Tioga Station","MFL"
"2463","2014","11","13","Tioga Station","MFL"
"2463","2014","11","14","Tioga Station","MFL"
"2463","2014","12","10","Tioga Station","MFL"
"2463","2014","12","11","Tioga Station","MFL"
"2464","2014","11","20","Church Station","MFL"
"2464","2014","11","21","Church Station","MFL"
"30520","2014","11","19","Norristown Transportation Center","NHSL"
"353","2014","06","02","Girard Station","MFL"
"353","2014","08","20","Girard Station","MFL"
"353","2014","08","21","Girard Station","MFL"
"353","2014","09","07","Girard Station","MFL"
"353","2014","10","05","Girard Station","MFL"
"353","2014","10","06","Girard Station","MFL"
"353","2014","11","18","Girard Station","MFL"
"353","2014","11","23","Girard Station","MFL"
"428","2014","05","24","2nd St Station          ","MFL"
"428","2014","05","25","2nd St Station          ","MFL"
"428","2014","07","13","2nd St Station          ","MFL"
"428","2014","07","14","2nd St Station          ","MFL"
"428","2014","08","05","2nd St Station          ","MFL"
"428","2014","08","06","2nd St Station          ","MFL"
"428","2014","10","20","2nd St Station          ","MFL"
"428","2014","12","10","2nd St Station          ","MFL"
"428","2014","12","11","2nd St Station          ","MFL"
"60","2014","05","11","Allegheny Station","MFL"
"60","2014","05","12","Allegheny Station","MFL"
"60","2014","05","21","Allegheny Station","MFL"
"60","2014","07","02","Allegheny Station","MFL"
"60","2014","07","03","Allegheny Station","MFL"
"60","2014","07","04","Allegheny Station","MFL"
"60","2014","07","30","Allegheny Station","MFL"
"60","2014","07","31","Allegheny Station","MFL"
"60","2014","08","07","Allegheny Station","MFL"
